City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
298,75,JP,1619619456,78,26.1247,127.6694,73.4,6.91
299,12,RU,1619619457,91,62.5353,113.9611,19.49,0.89
300,11,AU,1619619458,100,-37.8333,140.7667,46.4,4.07
301,100,BR,1619619458,39,-16.9567,-51.8103,80.46,7.0
302,62,ZW,1619619459,37,-16.5167,28.8,86.43,2.13
303,75,NL,1619619459,54,52.9599,4.7593,59.0,20.71
304,1,US,1619619460,88,21.4694,-158.2175,69.8,5.53
305,0,UZ,1619619461,14,40.4272,71.7189,86.0,2.3
306,90,NZ,1619619461,82,-36.8167,174.45,54.0,4.61
307,20,VN,1619619462,78,11.9214,109.1591,82.4,9.22
308,6,NA,1619619462,21,-28.45,18.7333,82.51,16.04
309,97,RU,1619619463,37,44.1671,45.8698,70.0,7.58
310,7,AU,1619619464,64,-34.7333,135.8667,63.0,4.63
311,75,US,1619619347,38,44.1003,-70.2148,55.99,3.44
312,100,CA,1619619302,93,43.7501,-81.7165,48.2,10.36
313,20,US,1619619465,86,64.5011,-165.4064,30.2,19.57
314,88,BR,1619619465,67,-24.7911,-50.0119,63.57,4.68
315,1,US,1619619313,78,21.3156,-158.0072,73.4,3.44
316,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
317,100,SB,1619619467,77,-10.4544,161.9205,77.13,6.73
318,100,NZ,1619619467,95,-46.1333,167.6833,50.0,3.0
319,62,PH,1619619468,84,7.9986,124.2928,77.0,5.01
320,20,US,1619619301,87,47.6262,-122.5212,50.0,4.61
321,1,AR,1619619469,66,-35.4323,-60.1727,70.0,8.01
322,40,CG,1619619470,66,-4.7561,11.8578,89.6,9.22
323,20,IN,1619619470,84,19.8,85.85,84.2,12.66
324,0,NE,1619619471,6,18.6853,12.9164,104.36,7.54
325,40,BR,1619619471,74,-9.9747,-67.81,80.6,8.05
326,0,AR,1619619472,67,-39.0333,-67.5833,57.2,5.75
327,90,FR,1619619472,94,44.0833,5.1667,60.8,5.75
328,98,CA,1619619473,100,47.3821,-61.8597,37.4,9.22
329,100,ID,1619619474,75,-6.8767,112.3761,80.76,5.37
330,100,US,1619619474,69,41.3042,-82.9752,72.0,1.01
331,75,NO,1619619475,74,70.9457,27.3465,28.4,9.22
332,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
333,100,ID,1619619476,75,-8.1181,111.8935,75.47,1.97
334,95,CN,1619619476,89,49.2833,120.7333,28.08,5.77
335,20,VN,1619619477,81,10.9333,108.1,80.19,9.95
336,100,BR,1619619477,79,-2.1042,-56.4869,82.04,2.73
337,100,PG,1619619478,79,-10.6167,150.6667,79.34,13.96
338,72,YE,1619619478,51,15.1718,44.3244,64.53,3.56
339,100,RU,1619619479,85,61.67,96.37,36.18,5.95
340,75,US,1619619320,73,29.4241,-98.4936,75.2,14.97
341,100,LK,1619619480,76,7.4167,81.8167,82.83,9.37
342,0,BR,1619619481,43,-20.4167,-54.0667,73.4,6.91
343,19,AU,1619619481,77,-28.7667,114.6,64.4,4.61
344,90,US,1619619482,93,41.3648,-87.4411,68.0,8.05
345,1,CN,1619619482,19,41.7597,86.1469,71.64,6.89
346,3,IN,1619619483,84,18.9333,84.6,82.56,12.73
347,20,MY,1619619484,94,3.1667,113.0333,78.8,2.3
348,20,MY,1619619484,83,1.55,110.3333,82.4,3.4
349,0,SE,1619619485,61,56.7446,15.9071,50.0,13.8
350,1,US,1619619485,87,42.8666,-106.3131,43.0,10.36
351,0,MR,1619619486,57,20.931,-17.0347,75.2,17.27
352,0,CN,1619619486,42,34.7911,114.3483,68.0,6.71
353,74,MZ,1619619487,67,-16.8392,36.9856,83.61,4.45
354,54,ET,1619619488,70,7.1333,40.7,67.21,9.31
355,1,US,1619619488,81,45.5234,-122.6762,46.99,1.77
356,75,CA,1619619489,93,46.2367,-60.2177,45.0,16.11
357,1,US,1619619489,59,64.8378,-147.7164,32.0,9.22
358,51,CD,1619619490,54,-5.8958,22.4178,87.19,5.5
359,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
360,100,ID,1619619491,89,1.7427,98.7792,77.45,3.51
361,98,KZ,1619619491,41,51.1,66.3167,63.73,7.11
362,12,MX,1619619492,75,20.0333,-96.6333,81.28,2.68
363,100,CA,1619619493,93,54.7169,-113.2854,26.6,4.61
364,74,ML,1619619493,6,20.1986,1.0114,107.73,8.99
365,90,US,1619619494,87,57.79,-152.4072,42.8,13.8
366,75,GF,1619619494,94,4.9333,-52.3333,81.0,8.05
367,99,SD,1619619495,19,11.0167,29.7167,101.03,5.17
368,0,MX,1619619495,59,31.7167,-116.5667,56.46,3.91
369,90,US,1619619284,100,36.3728,-94.2088,66.2,7.58
370,94,AU,1619619496,87,-41.0667,145.9167,53.01,1.01
371,20,ID,1619619497,94,1.3038,124.9112,77.0,0.69
372,30,IN,1619619498,6,22.1667,83.35,89.65,3.42
